image_path,caption,emoji,name
images/0000_grinning_face_aug00.png,a colorful emoji depicting grinning face,😀,grinning face
images/0000_grinning_face_aug01.png,pixel art of grinning face,😀,grinning face
images/0000_grinning_face_aug02.png,a happy emoji,😀,grinning face
images/0000_grinning_face_aug03.png,emoji: happy,😀,grinning face
images/0001_grinning_face_with_big_eyes_aug00.png,emoji showing grinning face with big eyes,😃,grinning face with big eyes
images/0001_grinning_face_with_big_eyes_aug01.png,an emoji of grinning face with big eyes,😃,grinning face with big eyes
images/0001_grinning_face_with_big_eyes_aug02.png,emoji: joy,😃,grinning face with big eyes
images/0001_grinning_face_with_big_eyes_aug03.png,a joy emoji,😃,grinning face with big eyes
images/0002_grinning_face_with_smiling_eyes_aug00.png,emoji: laugh,😄,grinning face with smiling eyes
images/0002_grinning_face_with_smiling_eyes_aug01.png,a happy emoji,😄,grinning face with smiling eyes
images/0002_grinning_face_with_smiling_eyes_aug02.png,a small illustration of grinning face with smiling eyes,😄,grinning face with smiling eyes
images/0002_grinning_face_with_smiling_eyes_aug03.png,happy laughing face squinting eyes,😄,grinning face with smiling eyes
images/0003_beaming_face_with_smiling_eyes_aug00.png,a grin emoji,😁,beaming face with smiling eyes
images/0003_beaming_face_with_smiling_eyes_aug01.png,a beam emoji,😁,beaming face with smiling eyes
images/0003_beaming_face_with_smiling_eyes_aug02.png,big grin squinting eyes,😁,beaming face with smiling eyes
images/0003_beaming_face_with_smiling_eyes_aug03.png,cartoon beaming face with smiling eyes,😁,beaming face with smiling eyes
images/0004_grinning_squinting_face_aug00.png,emoji: lol,😆,grinning squinting face
images/0004_grinning_squinting_face_aug01.png,laughing face closed eyes,😆,grinning squinting face
images/0004_grinning_squinting_face_aug02.png,emoji: funny,😆,grinning squinting face
images/0004_grinning_squinting_face_aug03.png,a colorful emoji depicting grinning squinting face,😆,grinning squinting face
images/0005_grinning_face_with_sweat_aug00.png,grinning face with sweat icon,😅,grinning face with sweat
images/0005_grinning_face_with_sweat_aug01.png,a small illustration of grinning face with sweat,😅,grinning face with sweat
images/0005_grinning_face_with_sweat_aug02.png,a sweat emoji,😅,grinning face with sweat
images/0005_grinning_face_with_sweat_aug03.png,a nervous emoji,😅,grinning face with sweat
images/0006_rolling_on_the_floor_laughing_aug00.png,emoji: rofl,🤣,rolling on the floor laughing
images/0006_rolling_on_the_floor_laughing_aug01.png,rofl laughing tears falling,🤣,rolling on the floor laughing
images/0006_rolling_on_the_floor_laughing_aug02.png,emoji: funny,🤣,rolling on the floor laughing
images/0006_rolling_on_the_floor_laughing_aug03.png,an emoji of rolling on the floor laughing,🤣,rolling on the floor laughing
images/0007_face_with_tears_of_joy_aug00.png,cartoon face with tears of joy,😂,face with tears of joy
images/0007_face_with_tears_of_joy_aug01.png,a funny emoji,😂,face with tears of joy
images/0007_face_with_tears_of_joy_aug02.png,emoji: lol,😂,face with tears of joy
images/0007_face_with_tears_of_joy_aug03.png,a tears emoji,😂,face with tears of joy
images/0008_slightly_smiling_face_aug00.png,emoji: gentle,🙂,slightly smiling face
images/0008_slightly_smiling_face_aug01.png,pixel art of slightly smiling face,🙂,slightly smiling face
images/0008_slightly_smiling_face_aug02.png,a colorful emoji depicting slightly smiling face,🙂,slightly smiling face
images/0008_slightly_smiling_face_aug03.png,emoji showing slightly smiling face,🙂,slightly smiling face
images/0009_upside-down_face_aug00.png,pixel art of upside-down face,🙃,upside-down face
images/0009_upside-down_face_aug01.png,an emoji of upside-down face,🙃,upside-down face
images/0009_upside-down_face_aug02.png,a silly emoji,🙃,upside-down face
images/0009_upside-down_face_aug03.png,emoji: irony,🙃,upside-down face
images/0010_winking_face_aug00.png,a flirt emoji,😉,winking face
images/0010_winking_face_aug01.png,a small illustration of winking face,😉,winking face
images/0010_winking_face_aug02.png,icon of winking face,😉,winking face
images/0010_winking_face_aug03.png,a colorful emoji depicting winking face,😉,winking face
images/0011_smiling_face_with_smiling_eyes_aug00.png,icon of smiling face with smiling eyes,😊,smiling face with smiling eyes
images/0011_smiling_face_with_smiling_eyes_aug01.png,emoji showing smiling face with smiling eyes,😊,smiling face with smiling eyes
